SectionID,SID,First,Last,ALG01,ALG02,ELA06,ELA07,ELA08,ELA09,ELA10,ELA11,English  --  English (6)  --  Regular,English  --  English (7)  --  Honors,English  --  English (7)  --  Regular,English  --  English (8)  --  Honors,English  --  English (8)  --  Regular,English  --  English 1 (9)  --  Honors,English  --  English 1 (9)  --  PC,English  --  English 1 (9)  --  Regular,English  --  English 2 (10)  --  Honors,English  --  English 2 (10)  --  Regular,English  --  English 3 (11)  --  AP,English  --  English 3 (11)  --  Honors,English  --  English 3 (11)  --  Regular,GEO01,MAT06,MAT07,MAT08,Math  --  6th Grade Mathematics  --  RC,Math  --  6th Grade Mathematics  --  Regular,Math  --  7th Grade Mathematics  --  RC,Math  --  7th Grade Mathematics  --  Regular,Math  --  8th Grade Mathematics  --  Regular,Math  --  Accelerated Math  --  Honors,Math  --  Algebra 1  --  Concepts,Math  --  Algebra 1  --  Honors,Math  --  Algebra 1  --  PC,Math  --  Algebra 1  --  Regular,Math  --  Algebra 2  --  Concepts,Math  --  Algebra 2  --  Honors,Math  --  Algebra 2  --  Regular,Math  --  AP CALC AB  --  AP,Math  --  AP CALC BC  --  AP,Math  --  AP Statistics  --  AP,Math  --  Geometry  --  Concepts,Math  --  Geometry  --  Honors,Math  --  Geometry  --  PC,Math  --  Geometry  --  Regular,Math  --  Math Analysis  --  Honors,Math  --  Math Analysis  --  Regular,Max Abs 2011,Max Abs 2012,Max Abs 2013,Max Abs 2014,Max Abs 2015,Max Abs 2016,NJASK 8,NJBCT,PSATLAL,PSATMATH,Science  --  6th Grade Science  --  Regular,Science  --  7th Grade Science  --  Regular,Science  --  8th Grade Science  --  Honors,Science  --  8th Grade Science  --  Regular,Science  --  AP Biology  --  AP,Science  --  AP Chemistry  --  AP,Science  --  AP Environmental Science  --  AP,Science  --  AP Physics 1  --  AP,Science  --  AP Physics 2  --  AP,Science  --  Biology  --  Concepts,Science  --  Biology  --  Honors,Science  --  Biology  --  PC,Science  --  Biology  --  Regular,Science  --  Chemistry  --  Concepts,Science  --  Chemistry  --  Honors,Science  --  Chemistry  --  Regular,Science  --  Physics  --  Concepts,Science  --  Physics  --  Honors,Science  --  Physics  --  Regular
4,340394,Jean,Reeves,744,740,NA,NA,730,789,698,NA,NA,NA,85.25,NA,84,NA,80,NA,NA,87,NA,NA,NA,740,NA,NA,NA,NA,NA,NA,NA,NA,80.5,NA,79.75,NA,NA,NA,NA,95.8,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,0,10,1,7,7,224,215,530,540,NA,88.5,NA,79,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,80.01,NA,NA,NA
4,958609,Timothy,Mack,761,731,NA,NA,NA,759,737,740,NA,NA,NA,NA,NA,NA,NA,78,NA,87,NA,NA,90,739,NA,NA,NA,NA,NA,NA,90,78.5,NA,NA,NA,NA,77.85,NA,NA,89,NA,NA,NA,NA,NA,NA,88.4,NA,NA,NA,16,16,4,8,6,NA,229,500,530,NA,67.5,NA,82.5,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,82.39,NA,NA,87
4,611802,Ginger,Bryant,728,702,NA,NA,724,747,766,NA,NA,NA,79.25,NA,84.75,NA,NA,81,NA,89,NA,NA,NA,740,NA,NA,707,81,NA,86.25,NA,79.5,NA,84.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.988,NA,NA,NA,0,2,0,2,1,224,197,480,450,NA,88.5,NA,73.5,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,74,NA,NA,NA
4,572886,Allen,Watson,750,NA,NA,NA,NA,755,746,NA,NA,NA,63.75,NA,85.75,NA,NA,79,NA,77,NA,NA,NA,731,NA,NA,NA,NA,NA,NA,79.25,76.25,NA,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.21,NA,NA,NA,NA,NA,NA,0,5,0,6,6,233,237,540,440,NA,87,NA,76.75,NA,NA,NA,NA,NA,NA,NA,NA,86,86,NA,NA,NA,NA,NA
5,879042,Tyrone,Christensen,741,NA,NA,NA,NA,758,792,755,NA,NA,72,NA,72.5,NA,NA,88,70,NA,NA,NA,93,742,NA,NA,NA,NA,78,NA,88.25,79,NA,NA,NA,NA,70,NA,NA,67.28,NA,NA,NA,NA,NA,NA,77.713,NA,NA,7,1,8,8,9,10,NA,229,560,540,80.25,88.75,NA,74.5,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,75.61,NA,NA,86
5,192861,Crystal,Hunter,744,793,NA,776,773,783,NA,NA,NA,NA,NA,NA,NA,91.8,NA,NA,NA,NA,NA,NA,NA,765,NA,NA,NA,NA,NA,NA,NA,NA,94.75,NA,94.75,NA,NA,NA,95.4,NA,NA,NA,NA,NA,94.5,NA,NA,NA,NA,NA,14,5,0,0,3,NA,296,590,560,99,97.75,95,NA,NA,NA,NA,NA,NA,NA,95.44,NA,NA,NA,NA,NA,NA,NA,NA
5,450370,Leah,Flowers,794,NA,NA,NA,775,783,772,NA,NA,NA,79.5,NA,88.25,NA,NA,85,NA,84,NA,NA,NA,775,NA,NA,796,91.5,NA,NA,88.25,94,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,83.8,NA,NA,NA,NA,NA,0,7,1,2,3,276,263,710,620,90.75,90.25,NA,84.5,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,93,NA,NA,NA
6,512071,Verna,Ortega,838,NA,788,804,844,NA,NA,NA,94.75,91.75,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,784,798,NA,NA,97.5,NA,NA,NA,96.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,278,NA,NA,NA,96.75,97,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,381249,Rene,Drake,774,801,NA,766,782,795,NA,NA,88.5,NA,84.5,NA,83.75,NA,NA,87,NA,NA,NA,NA,NA,792,NA,NA,NA,NA,NA,NA,NA,NA,87.75,NA,84,NA,NA,NA,92.65,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,5,0,0,4,300,270,600,600,90.25,94.75,89.5,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA
6,388135,Rosemary,Patrick,NA,803,NA,NA,799,772,813,NA,NA,NA,NA,NA,88.75,NA,NA,87,NA,94,NA,NA,NA,785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,NA,NA,NA,NA,NA,82.75,NA,NA,85.4,NA,NA,NA,NA,1,0,2,282,296,660,680,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,88.5,NA,NA,NA,NA
